Usuario1, 69, 1
Usuario2, 57, 2
Usuario3, 55, 3
Usuario4, 45, 4
Usuario5, 24, 5
Usuario6, 19, 6
Usuario7, 18, 7
Usuario8, 29, 8
Usuario9, 20, 9
Usuario10, 24, 10
Usuario11, 24, 11
Usuario12, 23, 12
Usuario13, 43, 13
Usuario14, 34, 14
Usuario15, 62, 15
Usuario16, 40, 16
Usuario17, 39, 17
Usuario18, 32, 18
Usuario19, 32, 19
Usuario20, 34, 20
Usuario21, 31, 21
Usuario22, 30, 22
Usuario23, 29, 23
Usuario24, 27, 24
Usuario25, 24, 25
Usuario26, 25, 26
Usuario27, 26, 27
Usuario28, 21, 28
Usuario29, 22, 29
Usuario30, 16, 30
Usuario31, 17, 31
Usuario32, 18, 32
Usuario33, 19, 33
Usuario34, 20, 34
Usuario35, 41, 35
Usuario36, 42, 36
Usuario37, 90, 37
Usuario38, 35, 38
Usuario39, 37, 39
Usuario40, 52, 40
Usuario41, 47, 41
Usuario42, 32, 42
Usuario43, 22, 43
Usuario44, 20, 44
Usuario45, 20, 45
Usuario46, 21, 46
Usuario47, 26, 47
Usuario48, 27, 48
Usuario49, 24, 49
Usuario50, 22, 50
