0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 55 0 45 64 0 27 0 76 0 0 2 9 29 0 47 0 0 0 0 18 0 80 0 0 59 46 0 1 0 50 0 37 91 94 0 38 0 0 44 39 54 35 57 74 17 49 0 0 37
0 0 0 53 0 0 58 0 0 0 0 0 27 24 0 78 0 0 10 12 0 0 63 95 20 0 0 71 74 10 0 50 75 61 0 0 0 57 0 0 0 0 60 0 0 0 43 69 40 87 0
0 0 0 0 0 0 0 3 0 0 63 7 9 0 0 0 0 87 99 97 0 54 42 0 75 65 0 0 0 10 0 65 0 60 48 92 0 46 0 21 26 4 88 0 34 64 0 9 0 0 0
0 85 45 45 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 5 98 0 21 0 0 0 6 0 81 26 58 0 63 24 0 59 0 72 0 62 37 0 0 0 20 0 0 0 67 76 30
0 17 0 0 0 0 84 0 0 0 20 0 40 3 0 71 8 79 44 11 42 0 0 15 66 0 0 92 0 5 69 0 95 0 0 61 93 0 0 0 0 0 77 0 0 0 6 0 3 0 74
0 80 0 0 53 66 0 0 0 40 0 69 7 83 55 8 0 0 21 0 0 96 1 90 0 67 0 0 0 0 61 0 73 84 14 78 0 90 36 0 0 11 0 0 0 94 0 83 0 6 0
0 0 8 6 35 73 0 0 43 6 0 60 57 0 0 0 0 0 51 0 57 0 56 0 38 51 36 98 65 0 0 0 0 89 12 95 6 0 12 0 0 64 0 0 0 25 0 0 70 0 0
0 9 68 90 20 0 6 71 0 0 0 0 0 0 47 0 0 97 0 77 7 51 0 0 88 0 33 78 10 0 0 0 0 48 48 79 0 92 4 0 0 38 0 0 28 10 0 30 0 0 57
0 0 0 0 0 1 10 0 96 0 52 0 0 83 25 0 0 0 0 61 66 23 55 66 0 68 0 26 74 0 11 44 48 30 53 66 0 0 0 12 0 82 0 39 27 0 72 66 0 0 0
0 0 0 0 0 40 92 83 13 0 0 0 72 63 41 18 93 60 0 22 36 0 0 35 29 0 57 83 0 0 85 0 0 0 16 85 0 81 28 0 18 18 0 69 34 0 0 62 19 4 0
0 0 0 0 38 0 13 0 0 0 76 0 44 0 53 0 10 0 0 0 0 0 10 0 0 0 0 78 32 0 0 0 7 9 0 74 57 17 18 40 0 85 56 71 16 20 25 57 0 45 0
0 14 16 38 20 2 0 64 0 0 0 0 0 0 93 0 87 0 30 84 0 0 0 52 88 0 0 0 0 0 0 0 0 28 0 18 9 0 0 83 71 0 0 6 0 91 99 5 79 0 0
0 5 92 71 0 99 0 56 17 0 85 0 8 0 0 25 81 40 0 60 0 3 87 0 0 91 4 0 0 0 0 0 0 72 72 0 2 0 42 0 95 25 42 28 73 89 0 0 0 89 86
0 9 0 0 0 76 0 16 0 63 0 10 0 0 0 80 0 0 39 12 22 0 0 85 0 11 42 0 0 0 74 85 0 76 80 67 97 49 0 0 0 0 26 0 0 11 0 0 50 0 0
0 52 0 0 4 0 0 44 89 0 22 0 38 76 0 0 0 0 66 45 0 36 0 61 22 0 0 33 3 0 0 81 22 79 0 0 7 0 0 87 37 46 0 0 71 2 2 0 0 0 34
0 15 0 84 0 0 7 0 0 26 0 53 4 0 76 59 0 37 0 0 32 0 3 0 0 0 0 0 0 0 0 0 0 96 0 8 46 82 94 0 0 65 0 0 25 83 0 0 0 0 83
